"Period","Group","N","mean_wl_w8","mean_wl_w16","mean_wl_w24","mean_wl_pct_w8","mean_wl_pct_w16","mean_wl_pct_w24"
"2019-2026","All",366,-6.13879781420765,-9.69972677595628,-11.5448087431694,-7.03376802693338,-11.1486346088585,-13.2501114342471
"2019-2026","GLP-1 user",291,-6.23436426116839,-9.8680412371134,-11.8288659793814,-7.12251139228301,-11.2834005391621,-13.5012740745093
"2025-2026","All",89,-6.37640449438202,-10.6056179775281,-13.6831460674157,-7.28264598331427,-12.1020501009542,-15.6482727286805
"2025-2026","GLP-1 user",87,-6.43333333333333,-10.5885057471264,-13.7195402298851,-7.36430843871763,-12.1337503365429,-15.7476050456106
"2019-2024","All",213,-6.06338028169014,-9.48638497652582,-11.0159624413146,-7.04134058792405,-11.0277388164023,-12.758020882419
